,country,id,cl,age_of_biz,onboard_date,stmt_start,stmt_end,-3_inflow,-2_inflow,-1_inflow,-3_outflow,-2_outflow,-1_outflow,-3_net_cash,-2_net_cash,-1_net_cash,-3_end_bal,-2_end_bal,-1_end_bal,cb_report_found,cb_inquiries_l12m,cb_trades_30_plus_l6m,cb_trades_repaid,cb_trades_active
294,Mexico,9357,280000,12,11/1/2022,7/1/2022,10/1/2022,897000,470000,676000,732000,672000,679000,165000,-202000,-3020,222000,19500,16400,1,8,1,2,4
295,Colombia,9347,2000,15,11/1/2022,7/1/2022,10/1/2022,28900,42100,12300,30200,29400,24800,-1280,12700,-12500,5310,18000,5570,1,1,0,2,4
296,Colombia,10196,2000,1,11/1/2022,7/1/2022,10/1/2022,23500,27400,27900,20600,27100,29300,2890,318,-1390,3390,3700,2310,1,1,0,0,0
297,Colombia,9673,1000,12,11/1/2022,7/1/2022,10/1/2022,14900,19000,19400,22100,32000,26600,-7250,-13000,-7150,22000,9000,1860,1,1,0,2,6
298,Colombia,10252,45000,11,11/1/2022,7/1/2022,10/1/2022,502000,471000,344000,434000,494000,456000,68100,-22600,-111000,155000,133000,21300,1,9,0,480,105
299,Colombia,9716,3000,6,11/1/2022,7/1/2022,10/1/2022,28700,35300,28600,33000,26000,35300,-4310,9300,-6740,2070,11400,4630,1,7,0,1,8
300,Colombia,10211,3500,25,11/1/2022,7/1/2022,10/1/2022,274000,216000,237000,343000,205000,236000,-69200,11500,1170,5980,17500,18600,1,7,0,2,0
301,Colombia,8365,80000,13,11/1/2022,7/1/2022,10/1/2022,417000,1160000,749000,646000,851000,1200000,-229000,307000,-447000,1020000,1330000,884000,1,1,0,7,9
302,Mexico,9513,1000000,1,11/1/2022,7/1/2022,10/1/2022,3180000,2510000,2270000,3180000,2500000,2260000,-4160,3500,11100,2130,5630,16800,1,5,0,0,4
303,Mexico,9786,15000,10,11/1/2022,7/1/2022,10/1/2022,946000,1090000,443000,793000,1100000,574000,153000,-10400,-131000,154000,143000,11900,1,41,0,19,18
304,Mexico,9808,400000,8,11/1/2022,7/1/2022,10/1/2022,1400000,458000,1170000,1380000,477000,1150000,19200,-19200,23700,19300,59,23700,1,25,1,28,12
305,Mexico,9829,60000,2,11/1/2022,7/1/2022,10/1/2022,51200,83900,35800,54800,56300,64300,-3610,27600,-28500,1310,28900,342,1,16,0,0,3
306,Mexico,10064,200000,7,11/1/2022,7/1/2022,10/1/2022,129000,152000,110000,129000,152000,110000,160,169,-184,529,698,514,1,3,0,0,0
307,Mexico,9700,60000,9,11/1/2022,7/1/2022,10/1/2022,69500,19500,30900,168000,20500,30300,-98900,-975,555,1150,172,727,1,11,1,1,2
308,Mexico,9362,20000,2,11/1/2022,7/1/2022,10/1/2022,94200,230000,553000,104000,130000,575000,-10300,100000,-22000,21500,122000,99500,1,1,0,0,0
309,Colombia,9394,1000,7,11/1/2022,7/1/2022,10/1/2022,16200,12900,18700,15100,38000,14900,1170,-25100,3800,44400,19300,23100,1,1,0,0,0
310,Colombia,10095,4000,11,11/1/2022,7/1/2022,10/1/2022,17600,16600,4950,8620,17500,24600,8980,-911,-19600,56200,55300,35600,1,6,0,0,2
